索引,起始值(含),终止值(不含),计数
0,0,100,2898
1,100,200,501
2,200,300,502
3,300,400,582
4,400,500,720
5,500,600,783
6,600,700,872
7,700,800,886
8,800,900,850
9,900,1000,812
10,1000,1100,745
11,1100,1200,684
12,1200,1300,607
13,1300,1400,563
14,1400,1500,571
15,1500,1600,493
16,1600,1700,440
17,1700,1800,392
18,1800,1900,355
19,1900,2000,314
20,2000,2100,281
21,2100,2200,1888
22,2200,2300,81
23,2300,2400,122
24,2400,2500,113
25,2500,2600,124
26,2600,2700,44
27,2700,2800,13
28,2800,2900,7
29,2900,3000,2
30,3000,3100,2
31,3100,3200,1
32,3200,3300,0
33,3300,3400,0
34,3400,3500,1
35,3500,2147483647,0